date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-21,Cardia_Adr_India_Install_Cpi_21062026,Cardia_Adr_India_Install_Cpi_21062026_M,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,477969,24963,21265,459,1.838721,1.934864,19147.097705,151,8941,,AVERAGE,BELOW_AVERAGE_35,ABOVE_AVERAGE
2026-06-22,Cardia_Adr_India_Install_Cpi_21062026,Cardia_Adr_India_Install_Cpi_21062026_M,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,312239,18727,17163,270,1.441769,1.468468,16673.199124,102,7331,,AVERAGE,BELOW_AVERAGE_35,ABOVE_AVERAGE
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,80101,4756,4583,62,1.303616,1.261564,16842.094197,11,982,,AVERAGE,AVERAGE,AVERAGE
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,278,27,27,0,0,,10296.296296,,4,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,2955,169,162,3,1.775148,1.775148,17485.207101,,39,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,2471,172,170,1,0.581395,0.581395,14366.27907,1,29,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,73996,6787,6461,48,0.707234,0.61883,10902.607927,10,1527,,AVERAGE,BELOW_AVERAGE_35,AVERAGE
2026-06-22,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,18422,1173,1071,18,1.534527,1.70503,15705.029838,,362,,AVERAGE,BELOW_AVERAGE_35,AVERAGE
2026-06-23,Cardia_Adr_India_Install_Cpi_21062026,Cardia_Adr_India_Install_Cpi_21062026_M,Cardia_Adr_India_Install_Cpi_2162026_M_NewCreative,303102,14854,13136,273,1.837889,1.864818,20405.412683,115,5832,,AVERAGE,AVERAGE,AVERAGE
2026-06-23,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,30940,1686,1518,31,1.838671,1.838671,18351.126928,10,404,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-23,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,Cardia_Adr_India_Install_Roas_230626_CAR_A2_UGC_H1_EN_202606221042_clean,2680,107,97,3,2.803738,4.672897,25046.728972,,32,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-23,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,20839,899,720,34,3.78198,4.226919,23180.200222,10,206,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-23,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,20447,1067,828,33,3.092784,3.467666,19163.074039,14,89,,BELOW_AVERAGE_20,AVERAGE,AVERAGE
