date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-08,Say_Global_Auto_Install_060726_All_Ads4,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S1_UGC_H1_US_META_clean,0,0,0,0,,,,1,,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H1_US_META_clean,78975,6550,6203,83,1.267176,1.267176,12057.251908,26,1633,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S7_SKIT_H2_US_META_clean,62574,8949,7907,86,0.961001,0.88278,6992.289641,22,1331,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All,Say_Global_Auto_Install_080726_All_SAYA_S3_UGC_H1_US_META_clean,22534,2119,1959,35,1.651723,1.60453,10634.261444,10,333,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All_SAYA_S3_UGC_H1_US_META_clean,53294,95,82,1,1.052632,1.052632,560989.473684,1,27,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All_SAYA_S7_SKIT_H2_US_META_clean,58508,165,139,6,3.636364,3.030303,354593.939394,2,46,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All,Say_US_Auto_Install_080726_All_SAYA_S7_SKIT_H1_US_META_clean,43178,86,73,3,3.488372,3.488372,502069.767442,1,19,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S3_UGC_H1_US_TIKTOK_clean,109286,11293,9472,140,1.239706,1.168866,9677.322235,57,2093,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S7_SKIT_H1_DE_META_clean,106171,8755,7904,92,1.050828,1.050828,12126.898915,29,1230,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-08,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative,Say_Global_Auto_Install_080726_All_Creative_SAYA_S8_UGC_H1_IT_META_clean,82124,6244,5677,85,1.361307,1.377322,13152.466368,28,916,,UNKNOWN,UNKNOWN,UNKNOWN,VND
