date,campaign_name,country,spend,impressions,clicks,installs,currency
2026-07-04,Say_Global_Auto_Install_050726_All,PE,324,5,2,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All,PH,4057,43,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,QA,16,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,CG,171,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,RW,258,25,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,WS,10,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,ST,27,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SA,52,4,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SN,8,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SC,1,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SL,299,12,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SB,290,15,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SO,1751,102,2,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,ZA,82,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SS,507,58,2,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,LK,1895,75,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SR,216,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SZ,1,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,SY,1475,163,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TJ,104,16,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TZ,583,28,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TH,281,9,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TL,282,36,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TG,13,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TO,5,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TT,45,1,1,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TN,824,15,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TR,19,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TM,217,20,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,TV,26,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,UG,107,7,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,AE,16,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,UZ,427,42,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,VU,10,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,VE,375,21,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,VN,64,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,YE,749,43,2,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All,ZM,906,34,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All,ZW,1133,28,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AF,8437,1349,6,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,DZ,43720,4079,66,15,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AO,1867,158,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AR,103,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AM,20,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AU,1,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,AZ,372,10,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BH,57,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BD,14318,1079,18,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BZ,58,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BJ,294,32,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BT,1260,171,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BO,185,10,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BW,430,39,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BR,2016,20,3,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BN,112,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BF,565,53,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,BI,942,227,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KH,988,57,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CM,2652,100,4,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CV,16,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CF,41,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,TD,1967,125,5,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CN,23,4,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CO,727,9,2,2,VND
2026-07-05,Say_Global_Auto_Install_050726_All,KM,174,12,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CR,273,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All,CW,103,1,0,,VND
