date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking
2026-06-27,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean,20927,1176,990,42,3.571429,3.571429,17795.068027,10,149,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-27,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_W_City,A/B-Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H2_EN_202606221322_clean - Copy,20879,906,704,51,5.629139,5.739514,23045.253863,12,91,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-27,Cardia_Adr_India_Install_Bidding_230626_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeD_CAR_A6_UGC_H1_EN_202606221143_clean,2014,102,83,4,3.921569,3.921569,19745.098039,,11,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Adr_India_Install_Bidding_230626_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal,Cardia_Adr_India_Install_Bidding_230626_All_Normal_CreativeC_CAR_A4_UGC_H1_EN_202606221659_clean,1,1,1,0,0,,1000,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A6_UGC_H1_EN_202606221143_clean,124910,5352,4242,358,6.689088,7.174888,23338.938715,40,533,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-27,Cardia_Adr_India_Install_Roas_230626,Cardia_Adr_India_Install_Roas_230626_M_City,Cardia_Adr_India_Install_Roas_230626_CAR_A4_UGC_H1_EN_202606221659_clean,99654,5464,4346,237,4.337482,4.685212,18238.286969,39,275,,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A1_UGC_H1_US_clean,67983,63,55,3,4.761905,3.174603,1079095.238095,1,19,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A2_UGC_H1_US_clean,4115,5,5,0,0,,823000,,,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A4_UGC_H1_US_clean,104827,135,116,3,2.222222,2.962963,776496.296296,2,36,,UNKNOWN,UNKNOWN,UNKNOWN
2026-06-27,Cardia_US_Broad_Install_Volume_250626,Cardia_US_Broad_Install_Volume_260626_4566,Cardia_US_Broad_Install_Volume_260626_4566_All_CAR_A4_UGC_H2_US_clean,15632,44,36,1,2.272727,2.272727,355272.727273,,9,,UNKNOWN,UNKNOWN,UNKNOWN
