date,ad_name,country,spend,impressions,clicks,installs,currency
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,HN,11,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,IN,19712,2556,29,4,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ID,394,14,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,IQ,795,33,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CI,270,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,JP,0,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,JO,291,10,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,KE,1027,47,1,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,KI,222,9,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,KW,0,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,KG,9,3,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LA,271,4,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LB,36,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LS,2,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LR,310,8,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LY,749,34,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MG,1322,64,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MW,2013,117,4,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MY,252,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MV,137,10,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ML,78,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MU,49,4,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MX,31,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MN,39,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MA,428,7,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MZ,61,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,MM,303,9,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NA,183,7,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NP,3058,305,4,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NZ,76,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NI,210,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NE,4,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,NG,753,27,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,OM,9,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PK,13618,1056,16,4,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PS,30,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PA,31,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PG,382,31,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PE,324,5,2,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,PH,4057,43,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,QA,16,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CG,171,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,RW,258,25,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,WS,10,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ST,27,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SA,52,4,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SN,8,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SC,1,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SL,299,12,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SB,290,15,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SO,1751,102,2,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ZA,82,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SS,507,58,2,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,LK,1895,75,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SR,216,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SZ,1,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,SY,1475,163,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TJ,104,16,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TZ,583,28,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TH,281,9,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TL,282,36,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TG,13,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TO,5,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TT,45,1,1,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TN,824,15,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TR,19,2,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TM,217,20,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TV,26,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,UG,107,7,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AE,16,3,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,UZ,427,42,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,VU,10,1,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,VE,375,21,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,VN,64,5,0,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,YE,749,43,2,1,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ZM,906,34,1,,VND
2026-07-04,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,ZW,1133,28,1,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AF,8437,1349,6,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,DZ,43720,4079,66,15,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AO,1867,158,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AR,103,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AM,20,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AU,1,1,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,AZ,372,10,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BH,57,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BD,14318,1079,18,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BZ,58,5,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BJ,294,32,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BT,1260,171,2,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BO,185,10,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BW,430,39,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BR,2016,20,3,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BN,112,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BF,565,53,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,BI,942,227,1,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,KH,988,57,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CM,2652,100,4,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CV,16,2,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CF,41,6,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,TD,1967,125,5,1,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CN,23,4,0,,VND
2026-07-05,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,CO,727,9,2,2,VND
