date,campaign_name,adset_name,ad_name,spend,impressions,reach,clicks,ctr,inline_link_click_ctr,cpm,installs,video_3s,cost_per_install,quality_ranking,engagement_rate_ranking,conversion_rate_ranking,currency
2026-07-04,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,82977,6526,5871,101,1.547656,1.562979,12714.832976,15,732,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,354307,30003,23359,459,1.529847,1.523181,11809.052428,93,3578,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All_ SAYA_S7_SKIT_H1_US_META_clean,33111,2407,2207,40,1.66182,1.537183,13756.12796,9,355,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S2_UGC_H1_US_META_clean,11255,1238,1162,14,1.130856,0.88853,9091.276252,6,169,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S7_SKIT_H2_US_META_clean,11899,735,662,17,2.312925,2.312925,16189.115646,2,116,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S3_UGC_H1_US_META_clean,4108,168,150,9,5.357143,5.357143,24452.380952,,20,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-05,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S1_UGC_H1_US_META_clean,7733,333,283,11,3.303303,3.603604,23222.222222,2,32,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All,Say_Global_Auto_Install_050726_All_ SAYA_S7_SKIT_H1_US_META_clean,44746,3441,3130,54,1.569311,1.569311,13003.777972,18,361,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All_ SAYA_S7_SKIT_H1_US_META_clean,26526,2217,2096,33,1.488498,1.488498,11964.817321,14,297,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S2_UGC_H1_US_META_clean,23321,2229,1986,35,1.570211,1.435621,10462.539255,21,336,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S7_SKIT_H2_US_META_clean,22543,1884,1621,27,1.433121,1.592357,11965.498938,13,382,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S3_UGC_H1_US_META_clean,6587,414,389,6,1.449275,2.173913,15910.628019,3,78,,UNKNOWN,UNKNOWN,UNKNOWN,VND
2026-07-06,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_060726_All,Say_Global_Auto_Install_050726_All_SAYA_S1_UGC_H1_US_META_clean,12464,542,465,13,2.398524,2.398524,22996.309963,5,68,,UNKNOWN,UNKNOWN,UNKNOWN,VND
